name,compiler,type,threads,input,mpxerrors,dtlb_store_misses,instructions,dtlb_load_misses,major_faults,minor_faults,branch_instructions,mpxbtnum,time,branch_misses,cycles,dtlb_loads,dtlb_stores
bzip2,gcc,mpx_no_narrow_bounds,1,test,,179307,141863056279,40542,0,21136,11557268950,,18.16008376,370009777,68915144498,29585624189,5947355023
astar,gcc,mpx_no_narrow_bounds,1,test,,13162583,56243851000,28478478,0,10326,4336289576,,11.358916927,525575578,43082639177,16469918031,4475163652
h264ref,gcc,mpx_no_narrow_bounds,1,test,,273,234381106,5536,0,2099,19431210,,0.040046488,547593,122971779,61214444,16283562
gobmk,gcc,mpx_no_narrow_bounds,1,test,,117638,1362115443,69850,0,9492,135231043,,0.305081741,8024486,1137334556,380590580,177797541
mcf,gcc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
sphinx3,gcc,mpx_no_narrow_bounds,1,test,,600100,178656740468,18997267,0,11882,10230187537,,22.822184245,256014976,86539861998,39709866400,4039722747
namd,gcc,mpx_no_narrow_bounds,1,test,,62573,92176526123,39662,0,11891,3371911710,,15.384270219,101877061,58380187676,17571250459,4183575291
soplex,gcc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
xalancbmk,gcc,mpx_no_narrow_bounds,1,test,,36991,1254708598,18721,0,4957,96593046,,0.48200119,575060,1825151530,632043230,259144062
povray,gcc,mpx_no_narrow_bounds,1,test,,1888,4944065115,27737,0,1922,383180322,,0.790682196,4527868,2917330452,1541765027,639063341
libquantum,gcc,mpx_no_narrow_bounds,1,test,,69,653861606,244,0,190,61065938,,0.084700374,224210,317977826,146543966,17656845
gcc,gcc,mpx_only_write,1,test,,,,,,,,,,,,,
hmmer,gcc,mpx_only_write,1,test,,1335,18761115202,6231,0,450,2807006279,,2.741562698,137708744,10355765343,6285503523,1531194495
lbm,gcc,mpx_only_write,1,test,,10081,7736806182,1587,0,1628,137862271,,3.405375083,1771600,12875099426,1347096563,724279943
perlbench,gcc,mpx_only_write,1,test,,,,,,,,,,,,,
milc,gcc,mpx_only_write,1,test,,1253357,37930446367,1030012,0,227180,865460586,,7.300432175,929189,27693465092,11606169154,4458548995
sjeng,gcc,mpx_only_write,1,test,,20317,16807977646,69655,0,2913,3137030461,,2.615563981,111104896,9917405332,3953763481,1330295120
dealII,gcc,mpx_only_write,1,test,,48417,15509200189,105013,0,19140,1393610490,,2.37633595,13588058,8989187428,5957114586,2346597436
omnetpp,gcc,mpx_only_write,1,test,,61466,2771691605,14642,0,5467,432117444,,0.505350673,3901446,1913702241,865495019,545050715
bzip2,gcc,mpx_only_write,1,test,,174725,76993453721,69913,0,21134,11338955828,,10.29065031,370790775,39049091976,25338875799,5532421492
astar,gcc,mpx_only_write,1,test,,6148148,28615424431,9114161,0,10392,4030205503,,7.753947544,545610448,29375614510,9948995794,2571370741
h264ref,gcc,mpx_only_write,1,test,,815,144535241,1262,0,2128,16807892,,0.026082188,509848,95221297,32976428,18198461
gobmk,gcc,mpx_only_write,1,test,,111288,1018653987,66971,0,9631,139926086,,0.251849981,8592835,949923269,303216801,159795987
mcf,gcc,mpx_only_write,1,test,,,,,,,,,,,,,
sphinx3,gcc,mpx_only_write,1,test,,877097,95511216159,17916581,0,11765,9365564135,,11.15291892,222184350,42305444967,25682102827,2416610983
namd,gcc,mpx_only_write,1,test,,49413,65646167274,36255,0,11911,3122832676,,14.801562897,103726472,56163376471,15457834452,3715886299
soplex,gcc,mpx_only_write,1,test,,,,,,,,,,,,,
xalancbmk,gcc,mpx_only_write,1,test,,,,,,,,,,,,,
povray,gcc,mpx_only_write,1,test,,434,3247098823,23244,0,1582,382772138,,0.518964941,4995882,1937761008,1240374584,565572026
libquantum,gcc,mpx_only_write,1,test,,4,379338529,266,0,190,53746582,,0.039545535,171638,130188895,96496807,16146274
gcc,gcc,mpx,1,test,,,,,,,,,,,,,
hmmer,gcc,mpx,1,test,,606,42558400888,1506,0,461,2806417858,,6.048450345,138639611,22945111088,17462995576,3364752485
lbm,gcc,mpx,1,test,,10052,13587403458,1546,0,1628,144160739,,3.412987269,1843657,12943785839,3568065001,1659998550
perlbench,gcc,mpx,1,test,,,,,,,,,,,,,
milc,gcc,mpx,1,test,,1079933,69578317792,1053720,0,227183,1619655437,,8.807925346,1115323,33404913674,15602831322,6520738563
sjeng,gcc,mpx,1,test,,18114,26847977885,68822,0,2918,3317065841,,4.062478108,107496543,15413157427,5936028399,1987529974
dealII,gcc,mpx,1,test,,58345,34831072148,97896,0,19533,1513949055,,5.078009192,13750449,19271158942,12579524880,4191124751
omnetpp,gcc,mpx,1,test,,60581,3746792393,14311,0,5108,438435190,,0.636680984,3590634,2412282769,1059233253,589837363
bzip2,gcc,mpx,1,test,,176618,145261029154,39820,0,21135,11518224356,,18.541009514,371570777,70306649730,30805329783,6714345086
astar,gcc,mpx,1,test,,13110821,58944445011,28515489,0,10309,4336287150,,11.800351838,523447616,44765440853,17447911871,5296601749
h264ref,gcc,mpx,1,test,,,,,,,,,,,,,
gobmk,gcc,mpx,1,test,,116508,1483886263,66318,0,9238,142047341,,0.321220105,7938456,1215126224,401351099,186703600
mcf,gcc,mpx,1,test,,,,,,,,,,,,,
sphinx3,gcc,mpx,1,test,,688955,178581336829,21510244,0,11887,10232714838,,22.863025947,258451720,86723411429,39756576874,4029012220
namd,gcc,mpx,1,test,,61869,92149492068,40198,0,11891,3384882077,,15.400109304,102817810,58425925645,17561809920,4194209438
soplex,gcc,mpx,1,test,,,,,,,,,,,,,
xalancbmk,gcc,mpx,1,test,,38254,1272280156,19605,0,4827,96141732,,0.485136318,577435,1826940951,639919983,267750386
povray,gcc,mpx,1,test,,1930,5014612640,27038,0,1920,383362799,,0.811673123,4612161,3039390652,1585657814,668371725
libquantum,gcc,mpx,1,test,,86,654247057,201,0,190,61495053,,0.084625332,224871,317801613,147033083,17749181
gcc,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
hmmer,gcc,mpx_first_field,1,test,,14,42557203625,1558,0,461,2806266873,,6.015858512,139052353,22830359865,17457874084,3366058808
lbm,gcc,mpx_first_field,1,test,,9918,13619644141,990,0,1628,146870919,,3.389937021,1888056,12854705038,3552203293,1651413808
perlbench,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
milc,gcc,mpx_first_field,1,test,,1095658,69510294356,1050742,0,227183,1617282298,,8.814096725,1099882,33406664883,15604242124,6522877882
sjeng,gcc,mpx_first_field,1,test,,21061,26846512630,70097,0,2918,3316119125,,4.060812206,107421089,15400519919,5938880354,1988207490
dealII,gcc,mpx_first_field,1,test,,51300,35555678993,87847,0,19099,1542040752,,5.268737961,13536350,19998110837,12760233163,4295555359
omnetpp,gcc,mpx_first_field,1,test,,59211,3766001306,14541,0,5108,434759769,,0.648136263,3339997,2438033936,1071240888,600382926
bzip2,gcc,mpx_first_field,1,test,,168803,145298164926,39790,0,21135,11550018121,,18.568629119,370119692,70328172706,30750705228,6664964111
astar,gcc,mpx_first_field,1,test,,13019263,58962125747,28587380,0,10309,4334530250,,11.782609694,520674544,44674984265,17445550608,5290517924
h264ref,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
gobmk,gcc,mpx_first_field,1,test,,112538,1470435478,65717,0,9237,140089927,,0.320425419,8073642,1210973581,403182101,189024523
mcf,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
sphinx3,gcc,mpx_first_field,1,test,,764254,178889731378,23303726,0,11887,10232956759,,23.42465175,362206685,88855917008,39824040683,4092661032
namd,gcc,mpx_first_field,1,test,,61230,92127141584,42183,0,11891,3373694600,,15.405890153,102662641,58451521165,17565788706,4191321381
soplex,gcc,mpx_first_field,1,test,,,,,,,,,,,,,
xalancbmk,gcc,mpx_first_field,1,test,,35363,1282020379,20363,0,5059,96104374,,0.483684061,576794,1824116887,644266078,270983384
povray,gcc,mpx_first_field,1,test,,1864,5059651231,29084,0,1924,384176089,,0.827036858,4666105,3083387133,1588077414,671641378
libquantum,gcc,mpx_first_field,1,test,,67,656213842,182,0,190,60900224,,0.085232243,217655,318133614,146686647,17655494
gcc,icc,native,1,test,,2171064,5542524447,36607772,0,111206,1229372597,,4.123933804,29087074,10866441802,1261139078,879020408
hmmer,icc,native,1,test,,377,15301727918,2233,0,268,1701103998,,1.533694316,38628161,5815642401,5191959436,1192258894
lbm,icc,native,1,test,,6942,6234234129,888,0,1615,154552425,,1.086935098,1684167,4106311701,1323914152,830739042
perlbench,icc,native,1,test,,214632,43796752462,5432003,0,6304,9823679050,,5.293724225,73122871,19965813748,15113001281,8140043270
milc,icc,native,1,test,,2126868,27680023511,184195,0,227154,778366725,,4.264206663,757254,16148096279,8784002013,3217237260
sjeng,icc,native,1,test,,28289,13205686930,68310,0,2892,2828490067,,2.155782781,96107039,8132623482,3314524665,1280979675
dealII,icc,native,1,test,,53502,8446017108,30549,0,10014,1020054392,,0.874303908,10717831,3285772629,3097899146,654388882
omnetpp,icc,native,1,test,,6443,1781380540,3296,0,2028,432705982,,0.221433242,3581577,836973855,525039372,332656318
bzip2,icc,native,1,test,,14692,65341113427,6630,0,4402,11067331430,,8.215199228,382349121,31172044611,20613600136,4046032086
astar,icc,native,1,test,,31176,19945927691,26626,0,4650,3840232881,,5.757214855,521765089,21847564561,6280154099,1490271772
h264ref,icc,native,1,test,,821,40668034,2505,0,1876,10959771,,0.015419932,388097,49779552,37230339,13423767
gobmk,icc,native,1,test,,8277,568093988,7918,0,1881,112210566,,0.131699337,8151394,484572995,131603912,89704611
mcf,icc,native,1,test,,5762,3222478373,113583,0,1472,836632672,,1.60014983,65212273,5528675026,1180141127,181067278
sphinx3,icc,native,1,test,,554269,63034117516,10684625,0,6571,7366783414,,7.852572713,138040611,29732127357,15589548026,2371760995
namd,icc,native,1,test,,28242,59834174847,32370,0,11156,3310039243,,13.535578763,106660315,51371872919,13647951323,3420511626
soplex,icc,native,1,test,,0,25499477,1120,0,469,7745743,,0.01166448,623978,2647013,13829644,5552302
xalancbmk,icc,native,1,test,,8821,325609441,4241,0,1859,88432831,,0.039674839,492095,128068514,93812894,35824833
povray,icc,native,1,test,,114,2323050292,2661,0,862,356849224,,0.313598426,4599016,1184302298,767881657,335187165
libquantum,icc,native,1,test,,65,177588075,446,0,175,17094460,,0.021857227,79873,80401298,23610518,17909405
gcc,icc,mpx_no_narrow_bounds_only_write,1,test,,,,,,,,,,,,,
hmmer,icc,mpx_no_narrow_bounds_only_write,1,test,,560,17231022893,853,0,358,1775782182,,1.769708798,46600537,6689407518,5611873363,1284761472
lbm,icc,mpx_no_narrow_bounds_only_write,1,test,,7147,6306301232,1005,0,1641,164915737,,1.089555739,1716426,4128222072,1324090153,829567358
perlbench,icc,mpx_no_narrow_bounds_only_write,1,test,,750462,56777028896,15131050,0,15867,10067691798,,10.503799548,75253865,39713954975,21692083203,12676130194
milc,icc,mpx_no_narrow_bounds_only_write,1,test,,2141610,28891176482,139165,0,227419,782802141,,3.239752468,716443,12268376055,9293624542,3222754648
sjeng,icc,mpx_no_narrow_bounds_only_write,1,test,,22712,14601859464,70751,0,2960,2834741411,,2.366087544,93875229,8971880361,3393505289,1324308287
dealII,icc,mpx_no_narrow_bounds_only_write,1,test,,,,,,,,,,,,,
omnetpp,icc,mpx_no_narrow_bounds_only_write,1,test,,75920,2359301686,20192,0,5450,447455046,,0.341448549,3355950,1292008718,739610124,444563678
bzip2,icc,mpx_no_narrow_bounds_only_write,1,test,,27642,73516536843,4975,0,4483,11114464947,,9.304195892,376686948,35303882867,22153899180,4229586543
astar,icc,mpx_no_narrow_bounds_only_write,1,test,,6109704,23690755377,9408616,0,9022,3846325336,,6.672914305,529689622,25297983849,7827992315,2154423639
h264ref,icc,mpx_no_narrow_bounds_only_write,1,test,,,,,,,,,,,,,
gobmk,icc,mpx_no_narrow_bounds_only_write,1,test,,66501,763527432,59430,0,10590,124588986,,0.197154945,7935037,731679918,162324107,111596900
mcf,icc,mpx_no_narrow_bounds_only_write,1,test,,,,,,,,,,,,,
sphinx3,icc,mpx_no_narrow_bounds_only_write,1,test,,738073,65332483740,12928559,0,12748,7418215232,,8.335864962,139647913,31617425409,16024202490,2445582093
namd,icc,mpx_no_narrow_bounds_only_write,1,test,,46171,61687894465,35814,0,11978,3316755748,,7.412899024,102331079,28127255014,13684774119,3437872680
soplex,icc,mpx_no_narrow_bounds_only_write,1,test,,,,,,,,,,,,,
xalancbmk,icc,mpx_no_narrow_bounds_only_write,1,test,,21833,402705487,11210,0,4033,85849511,,0.061637258,503186,230446688,118976319,52359824
povray,icc,mpx_no_narrow_bounds_only_write,1,test,,1055,2903568836,10240,0,2714,366505964,,0.408834639,4559912,1518176999,969762973,436985186
libquantum,icc,mpx_no_narrow_bounds_only_write,1,test,,16,165122697,427,0,201,16336305,,0.018191804,76812,63813346,32802404,19700594
gcc,icc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
hmmer,icc,mpx_no_narrow_bounds,1,test,,293,26708397880,737,0,307,2252845584,,3.371446705,49418063,12744451522,8214493114,1569189157
lbm,icc,mpx_no_narrow_bounds,1,test,,8962,6352855755,2693,0,1640,167011681,,1.104214065,1804037,4171622106,1346490004,833275485
perlbench,icc,mpx_no_narrow_bounds,1,test,,230282,71104476667,11722770,0,15862,10335472286,,13.610929574,79276711,51367451085,25150598022,13051271397
milc,icc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
sjeng,icc,mpx_no_narrow_bounds,1,test,,21474,19993006379,73903,0,2965,2853169258,,3.108580738,91872857,11788953589,3638346583,1450211579
dealII,icc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
omnetpp,icc,mpx_no_narrow_bounds,1,test,,52580,2848008438,19991,0,5339,493929094,,0.422404317,3249942,1583674300,821489252,474051708
bzip2,icc,mpx_no_narrow_bounds,1,test,,21117,103619290185,5668,0,4485,11093309723,,14.173624432,375369477,53787984135,22579815541,4243312961
astar,icc,mpx_no_narrow_bounds,1,test,,13965052,31682045341,29609039,0,8805,3844200174,,7.700420333,513377427,29216793274,9023013685,2105912017
h264ref,icc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
gobmk,icc,mpx_no_narrow_bounds,1,test,,76108,923859953,47045,0,10324,120764882,,0.224460089,8046943,848098222,179059308,116888408
mcf,icc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
sphinx3,icc,mpx_no_narrow_bounds,1,test,,1051861,92364837071,27795742,0,12831,7425089013,,13.141971316,141719355,49848061451,20469868615,2940032539
namd,icc,mpx_no_narrow_bounds,1,test,,60330,69684666885,40157,0,11964,3325406625,,8.143572833,102227675,30901000209,14743790022,3441588256
soplex,icc,mpx_no_narrow_bounds,1,test,,,,,,,,,,,,,
xalancbmk,icc,mpx_no_narrow_bounds,1,test,,27221,463225663,16694,0,4217,88015640,,0.080111036,504160,297815095,131319527,57927695
povray,icc,mpx_no_narrow_bounds,1,test,,1061,3233271596,10285,0,2492,363551538,,0.463028733,4500285,1745906817,1046576176,446748509
libquantum,icc,mpx_no_narrow_bounds,1,test,,9,196290998,347,0,201,15030467,,0.020264586,69223,71618247,29844185,19617802
gcc,icc,mpx_only_write,1,test,,,,,,,,,,,,,
hmmer,icc,mpx_only_write,1,test,,331,17245132584,1817,0,355,1776018568,,1.701282894,34926745,6435636200,5613040921,1283333497
lbm,icc,mpx_only_write,1,test,,7094,6303600715,1063,0,1641,163753600,,1.090893855,1733654,4133037656,1325331065,834064458
perlbench,icc,mpx_only_write,1,test,,769879,57905783775,14741478,0,15865,10057264915,,10.768972843,76894477,40764600124,21962698731,12940867572
milc,icc,mpx_only_write,1,test,,2161546,30188788407,141374,0,227457,785443760,,3.40806771,790697,12880594108,9632818816,3574066837
sjeng,icc,mpx_only_write,1,test,,23100,14680293243,74093,0,2960,2856088019,,2.378300526,94391863,8938156126,3391039110,1311835347
dealII,icc,mpx_only_write,1,test,,,,,,,,,,,,,
omnetpp,icc,mpx_only_write,1,test,,67562,2524659234,20578,0,5460,448969323,,0.385454067,3363921,1459798044,781658634,478322190
bzip2,icc,mpx_only_write,1,test,,22934,74075380199,5012,0,4484,11234427477,,9.339785777,384405926,35439238915,22032341268,4354076918
astar,icc,mpx_only_write,1,test,,6611205,23611897068,10010492,0,9006,3843906472,,6.677859114,528405583,25285930865,7764213293,2175428989
h264ref,icc,mpx_only_write,1,test,,694,99311809,3827,0,2135,15387435,,0.020082254,347890,70371817,40498670,15916897
gobmk,icc,mpx_only_write,1,test,,83388,761251629,58372,0,10534,122123093,,0.204139784,8368711,727213675,179517559,119474893
mcf,icc,mpx_only_write,1,test,,,,,,,,,,,,,
sphinx3,icc,mpx_only_write,1,test,,749995,65592022559,12925331,0,12746,7401665049,,8.394278731,143359533,31803138406,16079378331,2507871816
namd,icc,mpx_only_write,1,test,,54696,61708732510,33152,0,11976,3325717627,,7.42189717,102561548,28159972022,13685348100,3424742245
soplex,icc,mpx_only_write,1,test,,,,,,,,,,,,,
xalancbmk,icc,mpx_only_write,1,test,,19540,444749955,13448,0,3863,92913007,,0.066643997,494858,241701932,129767748,62811908
povray,icc,mpx_only_write,1,test,,691,3037325214,14295,0,2623,367042210,,0.426435757,4598995,1580871262,1024105510,476886769
libquantum,icc,mpx_only_write,1,test,,15,164739322,422,0,201,16088313,,0.018125298,74805,64422077,32306377,19832526
gcc,icc,mpx,1,test,,,,,,,,,,,,,
hmmer,icc,mpx,1,test,,530,26661130663,3541,0,306,2248503793,,3.377950835,48128165,12816364958,8212415887,1569538537
lbm,icc,mpx,1,test,,9027,6431477852,3565,0,1640,169721609,,1.105751026,1805820,4187338442,1342613347,832717642
perlbench,icc,mpx,1,test,,753374,72283400808,17660290,0,15919,10332403070,,13.929588506,78628231,52502790919,25438217664,13326567016
milc,icc,mpx,1,test,,,,,,,,,,,,,
sjeng,icc,mpx,1,test,,26727,19899851914,75102,0,2965,2836612034,,3.115439831,91769724,11774169786,3647604084,1458348517
dealII,icc,mpx,1,test,,,,,,,,,,,,,
omnetpp,icc,mpx,1,test,,55941,3028493232,20767,0,5404,494967560,,0.48391507,3293936,1827057875,862934172,515671112
bzip2,icc,mpx,1,test,,18205,103894040814,3862,0,4486,11084445961,,14.207778578,376208843,53920245316,22701275751,4334971069
astar,icc,mpx,1,test,,14619663,32688464182,29599719,0,8789,3839726276,,7.813377338,509062112,29629998753,9489974937,2421321305
h264ref,icc,mpx,1,test,,642,143112119,768,0,2020,15991602,,0.024073657,396074,86873907,33345712,15729022
gobmk,icc,mpx,1,test,,78608,962289278,54154,0,10431,121685292,,0.236412458,8196212,889270107,189294475,131685589
mcf,icc,mpx,1,test,,,,,,,,,,,,,
sphinx3,icc,mpx,1,test,,1056102,92685877084,27828697,0,12826,7415201350,,13.230741578,142504093,50175521456,20552585924,3031847655
namd,icc,mpx,1,test,,50397,69783599530,41115,0,11960,3333716516,,8.152133201,102043373,30890478625,14740420590,3449508330
soplex,icc,mpx,1,test,,,,,,,,,,,,,
xalancbmk,icc,mpx,1,test,,15628,574329593,12270,0,4423,94420552,,0.090552023,488124,340598219,142342201,72308910
povray,icc,mpx,1,test,,301,3969801748,10393,0,2522,370833998,,0.537911825,4478797,2034431357,1180374795,605665831
libquantum,icc,mpx,1,test,,18,198081932,158,0,201,16793739,,0.020181698,77239,71589813,33237465,19300356
